"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"2090","1.720","2b:89:b3:73:ef:0b","LE 1M","LE LL","34","133\302\265s","","","","0"
"2091","1.721","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","4268\302\265s","","","","0"
"2092","1.721","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2093","1.722","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2094","1.722","63:3d:4c:ce:2e:30","LE 1M","LE LL","24","2758\302\265s","","","","0"
"2095","1.723","63:3d:4c:ce:2e:30","LE 1M","LE LL","24","366\302\265s","","","","0"
"2096","1.724","fa:0d:ac:60:77:f4","LE 1M","LE LL","35","15247\302\265s","","","","0"
"2097","1.725","23:c9:ae:6c:08:e3","LE 1M","LE LL","37","3994\302\265s","","","","0"
"2098","1.726","23:c9:ae:6c:08:e3","LE 1M","LE LL","37","188\302\265s","","","","0"
"2099","1.726","23:c9:ae:6c:08:e3","LE 1M","LE LL","37","194\302\265s","","","","0"
"2100","1.727","59:51:34:3a:99:17","LE 1M","LE LL","21","670\302\265s","","","","0"
"2101","1.728","59:51:34:3a:99:17","LE 1M","LE LL","21","743\302\265s","","","","0"
"2102","1.728","59:51:34:3a:99:17","LE 1M","LE LL","21","356\302\265s","","","","0"
"2103","1.729","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","409\302\265s","","","","0"
"2104","1.729","ff:1c:38:10:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2105","1.730","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2106","1.732","00:7d:c4:73:eb:8d","LE 1M","LE LL","37","907\302\265s","","","","0"
"2107","1.733","00:7d:c4:73:eb:8d","LE 1M","LE LL","37","181\302\265s","","","","0"
"2108","1.734","00:7d:c4:73:eb:8d","LE 1M","LE LL","37","180\302\265s","","","","0"
"2109","1.734","75:8a:90:d3:2f:da","LE 1M","LE LL","12","509\302\265s","","","","0"
"2110","1.735","27:cc:97:e0:75:84","LE 1M","LE LL","37","4630\302\265s","","","","0"
"2111","1.736","27:cc:97:e0:75:84","LE 1M","LE LL","37","178\302\265s","","","","0"
"2112","1.736","01:61:72:42:77:a7","LE 1M","LE LL","37","3334\302\265s","","","","0"
"2113","1.737","01:61:72:42:77:a7","LE 1M","LE LL","37","187\302\265s","","","","0"
"2114","1.738","01:61:72:42:77:a7","LE 1M","LE LL","37","194\302\265s","","","","0"
"2115","1.739","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","6713\302\265s","","","","0"
"2116","1.740","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2117","1.740","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2118","1.741","SamsungE_1e:32:63","LE 1M","LE LL","37","5506\302\265s","","","","0"
"2119","1.741","75:8a:90:d3:2f:da","LE 1M","LE LL","12","1087\302\265s","","","","0"
"2120","1.742","cc:ea:48:1e:32:63","LE 1M","LE LL","37","862\302\265s","","","","0"
"2121","1.742","f6:d8:c7:99:93:35","LE 1M","LE LL","14","3543\302\265s","","","","0"
"2122","1.743","f6:d8:c7:99:93:35","LE 1M","LE LL","14","132\302\265s","","","","0"
"2123","1.743","f6:d8:c7:99:93:35","LE 1M","LE LL","14","132\302\265s","","","","0"
"2124","1.744","7e:c0:d2:57:a4:a9","LE 1M","LE LL","25","5347\302\265s","","","","0"
"2125","1.745","7e:c0:d2:57:a4:a9","LE 1M","LE LL","25","368\302\265s","","","","0"
"2126","1.746","7e:c0:d2:57:a4:a9","LE 1M","LE LL","25","368\302\265s","","","","0"
"2127","1.746","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","1759\302\265s","","","","0"
"2128","1.746","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","237\302\265s","","","","0"
"2129","1.747","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2130","1.747","7d:1c:43:f0:f1:ab","LE 1M","LE LL","20","1805\302\265s","","","","0"
"2131","1.748","7d:3c:5b:f0:f1:ab","LE 1M","LE LL","20","363\302\265s","","","","0"
"2132","1.748","7d:1c:43:f0:f1:ab","LE 1M","LE LL","20","736\302\265s","","","","0"
"2133","1.749","c0:66:16:ee:b8:8d","LE 1M","LE LL","51","8335\302\265s","","","","0"
"2134","1.750","c6:65:16:ca:be:8d","LE 1M","LE LL","35","232\302\265s","","","","0"
"2135","1.750","SamsungE_1e:18:bf","LE 1M","LE LL","34","2544\302\265s","","","","0"
"2136","1.751","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","9265\302\265s","","","","0"
"2137","1.751","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2138","1.752","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2139","1.753","08:9a:ba:f9:a8:35","LE 1M","LE LL","36","1596\302\265s","","","","0"
"2140","1.753","08:9a:ba:f9:a8:35","LE 1M","LE LL","36","137\302\265s","","","","0"
"2141","1.754","08:9a:ba:f9:a8:35","LE 1M","LE LL","36","137\302\265s","","","","0"
"2142","1.754","SamsungE_1e:32:63","LE 1M","LE LL","37","6908\302\265s","","","","0"
"2143","1.755","SamsungE_1e:32:63","LE 1M","LE LL","37","561\302\265s","","","","0"
"2144","1.756","SamsungE_1e:32:63","LE 1M","LE LL","37","1187\302\265s","","","","0"
"2145","1.756","6f:24:3a:9e:34:d3","LE 1M","LE LL","34","4991\302\265s","","","","0"
"2146","1.757","75:8a:90:d3:2f:da","LE 1M","LE LL","12","870\302\265s","","","","0"
"2147","1.757","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","3162\302\265s","","","","0"
"2148","1.758","fa:0d:ac:60:77:f4","LE 1M","LE LL","35","751\302\265s","","","","0"
"2149","1.759","fa:0d:ac:60:77:f4","LE 1M","LE LL","35","360\302\265s","","","","0"
"2150","1.760","fa:0d:ac:60:77:f4","LE 1M","LE LL","35","832\302\265s","","","","0"
"2151","1.760","82:e8:2c:83:3b:90","LE 1M","LE LL","35","2948\302\265s","","","","0"
"2152","1.761","82:e8:2c:83:3b:90","LE 1M","LE LL","35","360\302\265s","","","","0"
"2153","1.762","82:e8:2c:83:3b:90","LE 1M","LE LL","35","832\302\265s","","","","0"
"2154","1.762","SamsungE_1e:32:63","LE 1M","LE LL","37","2890\302\265s","","","","0"
"2155","1.763","SamsungE_1e:32:63","LE 1M","LE LL","37","561\302\265s","","","","0"
"2156","1.763","00:7d:c4:73:eb:8d","LE 1M","LE LL","37","824\302\265s","","","","0"
"2157","1.764","14:14:25:76:4d:47","LE 1M","LE LL","37","850\302\265s","","","","0"
"2158","1.765","14:14:25:76:4d:47","LE 1M","LE LL","37","180\302\265s","","","","0"
"2159","1.766","14:14:25:76:4d:47","LE 1M","LE LL","37","180\302\265s","","","","0"
"2160","1.767","27:cc:97:e0:75:84","LE 1M","LE LL","37","3050\302\265s","","","","0"
"2161","1.767","27:cc:97:e0:75:84","LE 1M","LE LL","37","179\302\265s","","","","0"
"2162","1.768","27:cc:97:e0:75:84","LE 1M","LE LL","37","178\302\265s","","","","0"
"2163","1.768","55:01:2a:98:35:1d","LE 1M","LE LL","23","1644\302\265s","","","","0"
"2164","1.769","7c:89:95:02:84:47","LE 1M","LE LL","24","1941\302\265s","","","","0"
"2165","1.769","7c:89:95:02:84:47","LE 1M","LE LL","24","736\302\265s","","","","0"
"2166","1.770","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","3300\302\265s","","","","0"
"2167","1.770","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
